Unit: 2012 USD,GDP
2014.0,805278000000.0
2015.0,839124300000.0
2016.0,866731000000.0
2017.0,896117000000.0
2018.0,924873300000.0
2019.0,950759100000.0
2020.0,966068028208.7823
2021.0,979703652915.9369
2022.0,994015471552.7277
2023.0,1009467100556.6915
2024.0,1026013321732.6877
2025.0,1043428044105.0115
2026.0,1061545467624.8127
2027.0,1080248128934.5992
2028.0,1099449229889.6748
2029.0,1119081722821.3823
2030.0,1139105067278.9058
2031.0,1159511467021.7034
2032.0,1180326389768.878
2033.0,1201595053715.57
2034.0,1223365795553.1375
2035.0,1245684872975.4597
2036.0,1268596984428.3086
2037.0,1292149427104.3025
2038.0,1316378583459.3022
2039.0,1341306802716.1936
2040.0,1366948118107.951
2041.0,1393313964120.7021
2042.0,1420419933235.5305
2043.0,1448268624199.283
2044.0,1476846523528.354
2045.0,1506132321498.597
2046.0,1536111465127.6675
2047.0,1566777717423.1326
2048.0,1598117045152.0176
2049.0,1630107099091.4363
2050.0,1662725530018.5032
2051.0,1695964541692.6768
2052.0,1729835568600.0847
2053.0,1764347966229.3765
2054.0,1799508491322.355
2055.0,1835327019117.0393
2056.0,1871830576580.6404
2057.0,1909067500404.5156
2058.0,1947088206277.5007
2059.0,1985943109888.4307
2060.0,2025687824419.8352
